－	0	0	0	0	4	4
—	13	0	0	0	2	306
―	0	0	819	5	0	1
！	0	0	0	0	12	665
＄	0	1	0	0	0	1
(	0	0	243598	0	0	1
（	74	857	452871	0	98	4316
)	0	0	83881	0	0	1
）	33	0	79420	0	52	4316
，	2131	0	0	0	884	74920
、	1562	0	0	0	0	23116
．	1	0	0	0	0	2
。	0	0	0	0	332	35985
：	78	6	0	0	0	3258
；	95	7	0	0	0	2636
？	0	0	0	0	0	771
＿	0	1	0	0	0	1
｀	0	1	0	0	0	1
’	0	0	0	0	2	205
“	155	0	0	0	0	7970
”	4	0	0	0	0	7943
′	0	0	1	0	0	1
〈	3	0	0	0	0	5
〉	0	0	0	0	0	5
《	267	0	0	0	0	1940
》	5	0	0	0	0	1940
「	21	0	0	0	0	1
」	3	0	0	0	0	1
〔	0	2	561	0	0	0
〕	0	0	74	0	0	0
阿	0	3945	8130	1	0	94
阿坝	0	436	139	0	0	0
阿波罗	0	68	375	0	0	2
阿伯丁	0	0	3	0	0	0
阿布扎比	0	0	5	0	0	5
阿部	0	1	3	0	0	0
阿昌族	0	0	1	0	0	1
阿城	0	35	94	1	0	0
阿城市	0	107	61	0	0	0
阿德莱德	0	0	2	0	0	0
阿迪达斯	0	1	6	0	0	4
阿弟	0	2	6	0	0	0
阿爹	0	0	1	0	0	0
阿斗	0	2	6	0	0	0
阿尔卑斯	0	9	22	0	0	0
阿尔卑斯山	0	0	2	0	0	0
阿尔法	0	68	187	2	0	1
阿尔及利亚	0	8	4	0	0	57
阿尔派	0	6	22	0	0	0
阿尔萨斯	0	0	3	0	0	0
阿尔山	0	34	11	0	0	0
阿方	0	1	3	0	0	3
阿房宫	0	2	21	0	0	0
阿飞	0	23	14	0	0	0
阿富汗	0	5	1	0	0	14
阿哥	0	7	9	0	0	1
阿根廷	0	15	6	0	0	37
阿胶	0	1	221	2	0	0
阿克拉	0	1	0	0	0	0
阿克苏	0	2142	1003	0	0	0
阿克苏河	0	0	1	0	0	0
阿拉伯	0	19	23	0	0	86
阿拉伯胶	0	0	1	0	0	0
阿拉伯语	0	0	4	0	0	0
阿拉木图	0	1	5	0	0	13
阿拉善	0	88	74	0	0	1
阿拉善盟	0	70	60	0	0	0
阿拉斯加	0	1	6	0	0	0
阿勒泰	0	67	77	0	0	0
阿里	0	221	486	1	0	9
阿里安	0	1	2	0	0	2
阿里山	0	11	51	0	0	0
阿联酋	0	96	7	0	0	6
阿鲁巴	0	1	0	0	0	0
阿鲁沙	0	0	1	0	0	0
阿妈	0	5	6	0	0	1
阿曼	0	21	55	0	0	0
阿妹	0	2	10	0	0	0
阿盟	0	17	14	0	0	17
阿弥陀佛	0	1	0	0	0	0
阿米巴	0	1	0	0	0	0
阿姆斯特丹	0	1	1	0	0	1
阿婆	0	1	20	0	0	1
阿萨伊	0	1	10	0	0	0
阿塞拜疆	0	3	3	0	0	4
阿斯旺	0	1	2	0	0	0
阿图什	0	14	17	0	0	0
阿姨	0	0	19	0	0	5
啊	0	326	437	61	0	72
啊呀	0	5	7	0	0	0
锕	0	1	4	0	0	0
嗄	0	0	5	0	0	0
哎	0	15	32	0	0	4
哎呀	0	28	27	0	0	0
哎哟	0	3	6	0	0	0
哀	0	1	7	0	0	0
哀戚	0	1	0	0	0	0
哀伤	0	0	1	0	0	0
哀思	0	0	2	0	0	1
埃	0	341	2273	1	0	4
埃菲尔	0	10	35	0	0	0
埃及	1	25	12	0	0	56
埃克森	0	31	179	0	0	1
埃塞	0	4	0	0	0	0
埃塞俄比亚	0	5	0	0	0	2
埃特纳	0	3	3	0	0	3
唉	0	0	2	1	0	0
锿	0	0	2	0	0	0
挨	0	4	8	1	0	8
皑	0	1	39	0	0	1
皑皑	0	2	6	0	0	3
癌	0	1	0	0	0	1
癌症	0	1	8	0	0	12
矮	0	4	23	0	0	4
矮子	0	2	4	0	0	0
蔼	0	2	46	1	0	0
霭	0	1	18	0	0	1
艾	0	3550	15284	1	0	0
艾绒	0	0	35	0	0	0
艾滋病	0	0	3	0	0	29
砹	0	3	24	0	0	0
爱	0	5109	27159	23	0	150
爱不释手	0	10	5	0	0	3
爱厂如家	0	1	0	0	0	1
爱戴	0	7	13	0	0	8
爱丁堡	0	2	1	0	0	0
爱多	0	36	113	2	0	1
爱尔兰	0	25	14	0	0	12
爱抚	0	0	1	0	0	0
爱国	0	26	212	6	0	47
爱国心	0	1	0	0	0	1
爱国者	0	20	56	1	0	0
爱好	0	10	38	3	0	16
爱好者	0	1	40	4	0	30
爱河	0	4	27	0	0	0
爱护	0	1	15	0	0	14
爱将	0	0	1	0	0	0
爱教	0	0	1	0	0	3
爱克发	0	4	7	0	0	1
爱立信	0	9	26	0	0	6
爱恋	0	4	40	0	0	1
爱侣	0	8	21	0	0	2
爱美	0	143	366	0	0	1
爱民	0	50	566	11	0	2
爱莫能助	0	1	0	0	0	1
爱慕	0	10	33	0	0	1
爱尼	0	16	42	0	0	3
爱鸟	0	0	4	0	0	0
爱女	0	0	4	0	0	0
爱妻	0	15	37	0	0	0
爱琴海	0	31	73	0	0	0
爱情	0	75	103	0	0	9
爱犬	0	6	19	0	0	0
爱人	0	0	1	1	0	13
爱沙尼亚	0	2	0	0	0	15
爱神	0	10	39	0	0	0
爱孙	0	0	1	0	0	1
爱卫会	0	0	2	0	0	0
爱屋及乌	0	1	1	0	0	0
爱惜	0	4	3	0	0	0
爱心	0	162	612	0	0	53
爱意	0	19	46	0	0	0
爱因斯坦	0	1	2	0	0	0
爱子	0	3	9	0	0	1
隘	0	0	204	0	0	0
隘口	0	1	8	0	0	0
隘路	0	0	2	0	0	0
碍	0	0	10	0	0	3
碍事	0	0	1	0	0	1
嗳	0	14	18	0	0	0
嫒	0	5	38	0	0	0
瑷	0	20	62	0	0	0
暧	0	2	288	2	0	1
暧昧	0	3	1	0	0	1
安	0	15725	83346	70	0	18
安安静静	0	1	0	0	0	0
安保	0	25	562	0	0	2
安倍	0	2	42	0	0	0
安边	0	4	29	0	0	0
安步当车	0	1	0	0	0	0
安达	0	369	3645	3	0	2
安达市	0	334	72	0	0	0
